codEstacao;municipio;uf;nomeEstacao;latitude;longitude;data;hora;precipitação
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;00:00:00.0;0
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;01:00:00.0;0
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;02:00:00.0;0
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;02:10:00.0;0
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;02:20:00.0;0,2
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;02:30:00.0;0,98
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;02:40:00.0;0
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;02:50:00.0;0,2
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;03:00:00.0;0
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;03:10:00.0;0
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;03:20:00.0;0
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;03:30:00.0;0,79
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;03:40:00.0;0,2
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;03:50:00.0;0
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;04:00:00.0;0
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;04:10:00.0;0
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;04:20:00.0;0,59
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;04:30:00.0;0
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;04:40:00.0;0
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;05:00:00.0;0
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;06:00:00.0;0
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;07:00:00.0;0
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;07:10:00.0;0
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;07:20:00.0;0
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;07:30:00.0;0,2
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;07:40:00.0;0
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;07:50:00.0;0
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;08:00:00.0;0
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;09:00:00.0;0
270760201A;QUEBRANGULO;AL;Quebrangulo01;-9.318;-36.471;01/07/2015;10:00:00.0;0
